Fecha,Agricultura,Minas,Manufactura,Energia_Agua,Construccion,Comercio,Transporte,Alojamiento_Comida,Info_Comunicaciones,Financieras,Inmobiliarias,Profesionales,AdmPublica_Salud,Arte_Otros
2019-01,342681,124207,1018215,106910,792552,1145770,523687,258961,220051,267898,88040,2047369,1439016,387802
2019-02,342326,125035,1035943,107669,815548,1160851,531684,269743,223606,268736,89849,2055440,1533378,408507
2019-03,345950,126506,1043127,108517,819239,1167293,535081,274651,224666,269182,90618,2062470,1550009,413865
2019-04,348759,126634,1041408,109143,805516,1163173,534070,275497,226471,269052,90898,2077177,1553421,413654
2019-05,347492,127629,1044953,110459,822998,1168231,540722,277476,228903,269694,90927,2088834,1561112,415801
2019-06,343324,127252,1042635,112102,815013,1165781,541284,276990,233702,269763,90602,2077900,1555752,416448
2019-07,344750,128083,1047290,112646,835241,1175213,544544,279949,236505,270801,91480,2104621,1547446,419279
2019-08,344556,127571,1050721,112875,840392,1180056,548613,282917,237095,271638,91762,2113088,1570722,421256
2019-09,345322,126977,1065469,114509,858774,1192106,551725,284719,239509,273194,91906,2131749,1566917,422326
2019-10,348161,125232,1075216,114911,875986,1198510,555045,288065,241938,273646,92430,2161396,1607035,423135
2019-11,348276,124150,1082159,115543,876218,1205770,554327,288482,242245,273663,92065,2186884,1575834,420918
2019-12,346356,121145,1072745,115668,830317,1205584,547315,276634,241868,274486,91748,2179747,1500217,405042
2020-01,352040,124349,1048633,113405,820597,1186663,543863,278742,242876,273261,91432,2124857,1448829,371746
2020-02,353616,125057,1064418,113565,834963,1203277,548884,287533,246243,274603,92436,2135570,1551709,401484
2020-03,348826,123747,1058979,114403,792624,1205830,543147,284160,245737,273603,92304,2103216,1569177,412552
2020-04,341138,113827,998092,111312,611746,1152956,501853,247781,237004,265992,87828,1896713,1547996,391041
2020-05,340895,111291,987227,111927,693826,1142232,495086,231312,235879,265450,87361,1864258,1543252,386956
2020-06,341091,110432,982898,112524,740606,1141484,492113,218791,229477,263467,87663,1873744,1531620,385869
2020-07,341073,112589,991740,114334,772119,1155076,494427,208714,237200,266544,89047,1921920,1499337,385375
2020-08,343190,113011,990732,115796,783111,1154173,490995,201900,239413,264721,89560,1941106,1528350,383521
2020-09,347865,113884,1003885,116584,811175,1172389,498478,206624,244037,265092,90892,1988095,1539594,386187
2020-10,349330,114516,1016929,117185,825445,1186484,504295,214515,248275,264841,92325,2041018,1545636,389608
2020-11,350034,115353,1029692,117402,827230,1204219,508350,219089,250969,265046,92790,2092125,1553017,392471
2020-12,348699,112950,1028148,117988,789700,1218159,510823,216204,251499,264311,92632,2119773,1505323,386135
2021-01,356592,114556,1017250,116535,785560,1202032,507541,208183,260692,266271,92267,2056246,1432315,338910
2021-02,358072,116694,1037579,117398,808579,1223661,511900,212349,266396,269379,93036,2074314,1523228,363600
2021-03,363231,117894,1050952,118508,810391,1241550,517376,218596,271608,270621,94338,2103833,1554183,380308
2021-04,367050,117940,1054741,118595,797720,1244261,517099,218426,275035,270419,94060,2127325,1567151,386540
2021-05,363106,116920,1046686,118719,769035,1247024,509111,216398,278400,269614,92810,2113011,1569920,386701
2021-06,364052,117937,1051836,119752,776633,1256821,514496,220539,281842,270633,93043,2132229,1571274,391019
2021-07,349910,110393,998949,112380,757398,1126536,491173,211416,239159,267947,86081,1944855,1514077,374555
2021-08,366813,120918,1075659,121386,804290,1281377,529081,232710,289380,271621,94204,2193311,1594617,396184
2021-09,370546,122276,1089992,122142,818483,1296117,535084,239663,294865,272679,94574,2229810,1603506,400212
2021-10,371335,122963,1100550,122964,821425,1308162,538594,245744,297470,275317,94932,2259097,1606964,403044
2021-11,372476,123964,1110057,124156,830498,1320876,543477,251303,300550,275594,95365,2302853,1618666,405911
2021-12,369408,121685,1103280,124197,791218,1321622,539945,253231,300164,274919,94957,2304705,1571599,398522
2022-01,386918,120733,1077352,123978,833145,1284999,540897,259259,307785,282166,96874,2343331,1548191,388606
2022-02,389015,122259,1102259,124334,858229,1301157,550377,269342,311699,281366,98251,2367556,1645449,418580
2022-03,394755,124119,1114642,125285,877548,1314997,561709,280227,317545,285579,99247,2401194,1688726,425122
2022-04,397142,123675,1116839,125402,867861,1316374,563104,284126,319041,284621,99370,2398967,1662689,426230
2022-05,398308,124873,1130452,125298,884405,1330622,567489,292319,320570,285798,100311,2423448,1690413,428672
2022-06,399084,125855,1131978,125677,888162,1336585,569216,295509,322828,287101,100596,2433406,1681474,428862
2022-07,401084,126675,1139338,126073,898570,1346275,571719,301862,325826,284129,100802,2453416,1632854,427472
2022-08,403015,127992,1152627,126318,920436,1359302,579680,307893,329508,285769,101632,2473981,1679980,431740
2022-09,404267,130103,1162096,127077,927863,1372407,583348,314046,333814,286686,102121,2483611,1689530,434431
2022-10,404486,130901,1166058,128141,917275,1376058,585644,312080,334214,285801,101835,2488588,1694016,435710
2022-11,402264,130877,1150110,128762,861938,1342466,567591,306101,325774,277641,95954,2378674,1687225,424393
2022-12,397787,127291,1137119,127792,812268,1347033,562065,294738,323887,276692,97937,2359647,1614115,410713
2023-01,410403,129816,1120833,126429,823618,1335395,560137,298690,328125,275875,97859,2334498,1548779,368215
2023-02,415611,130769,1147126,128007,857514,1358919,568664,316836,335449,277142,98757,2351417,1671344,408202
2023-03,418469,131592,1156446,128650,863738,1374637,574808,321141,334750,277180,98815,2364317,1693906,415251
2023-04,421341,130999,1153100,128409,851775,1373684,573514,321313,334858,276501,97963,2347580,1699556,417067
2023-05,423260,131749,1158881,129097,861295,1381173,575116,323425,333502,277492,98134,2340773,1707856,419555
2023-06,421319,130419,1154595,131568,853290,1384757,575022,321571,333734,272502,97797,2323119,1700655,420806
2023-07,422057,129845,1156161,131891,852664,1387655,573294,325755,333987,271592,98161,2317172,1681878,419711
2023-08,423990,129883,1159191,132468,863852,1394301,577404,326188,335005,271895,99073,2328699,1715011,421673
2023-09,427852,129306,1176125,133142,938902,1428622,597803,333642,339873,280817,103863,2441613,1730777,432809
2023-10,427437,129367,1176629,133538,937914,1429752,596863,334052,341434,278516,103823,2449685,1768636,429391
2023-11,427032,129660,1179509,134061,936679,1432376,596175,333341,341033,277353,103201,2461925,1756491,428295
2023-12,421367,126219,1163957,133596,883204,1422446,589490,315318,338013,274931,101879,2441645,1648992,414977
2024-01,428634,128274,1144864,132508,867405,1402461,586949,313475,339572,273674,101812,2397129,1592929,375754
2024-02,427954,128849,1165848,132672,883921,1419558,592140,326599,339989,273561,103174,2394562,1692906,401358
2024-03,426490,127306,1161461,132308,845019,1407132,587167,329787,336041,273150,101413,2349651,1708398,414857
2024-04,434150,127947,1175695,132532,861682,1422776,593732,336708,338956,274315,103025,2404526,1722509,421748
2024-05,429398,126407,1174091,132065,857456,1427133,592296,338207,339095,273866,103253,2389894,1726960,425173
2024-06,426320,126013,1170111,132709,844937,1424450,588064,333890,337079,273060,103005,2363663,1712368,426631
2024-07,429677,126789,1175129,133281,849947,1428376,591686,337865,339219,272582,104171,2379447,1680604,439002
2024-08,429159,126122,1179630,133448,843329,1422254,591458,338778,339098,270889,102752,2364604,1733477,438108
2024-09,429565,123556,1181960,133984,840520,1424935,592249,340241,337561,270919,103769,2372319,1741636,437973
2024-10,431517,123479,1188218,134865,850168,1433703,595851,341736,339092,271866,104169,2402117,1747167,445350
2024-11,430675,121931,1187376,135044,841282,1435815,593513,339993,338949,271043,104493,2423480,1744071,443170
2024-12,425766,117591,1172362,133759,794459,1428367,582911,323818,335212,269127,103225,2413413,1619390,432735
2025-01,436518,121253,1166242,133921,812826,1417526,585596,333114,334285,270073,104013,2392958,1601326,406064
2025-02,435682,121146,1189253,134679,811948,1429997,590176,343123,334356,270627,104739,2382917,1714253,432764
2025-03,437959,121865,1197102,135306,812969,1434988,591080,346077,332577,271222,105114,2386974,1731441,443692
2025-04,438659,120959,1192710,135282,795469,1428768,588363,348034,334424,271462,104931,2386212,1734596,450772
2025-05,422574,115617,1157631,133106,757513,1383240,574318,332371,327483,266741,100507,2316192,1700059,431577
