Fecha,Indice_de_tasa_de_cambio_real
31/12/1979,71.9
31/01/1980,71.53
29/02/1980,72.48
31/03/1980,72.28
30/04/1980,71.37
31/05/1980,73.1
30/06/1980,74.28
31/07/1980,74.52
31/08/1980,74.08
30/09/1980,74.25
31/10/1980,74.28
30/11/1980,73.3
31/12/1980,72.56
31/01/1981,72.24
28/02/1981,70.2
31/03/1981,70.49
30/04/1981,69.25
31/05/1981,67.97
30/06/1981,66.28
31/07/1981,64.98
31/08/1981,64.31
30/09/1981,66.13
31/10/1981,66.71
30/11/1981,67.57
31/12/1981,67.61
31/01/1982,67.14
28/02/1982,65.7
31/03/1982,64.7
30/04/1982,64.55
31/05/1982,65.61
30/06/1982,63.74
31/07/1982,63.2
31/08/1982,62.15
30/09/1982,61.28
31/10/1982,61.02
30/11/1982,61.28
31/12/1982,63.22
31/01/1983,64.31
28/02/1983,63.85
31/03/1983,63.48
30/04/1983,62.97
31/05/1983,63.3
30/06/1983,63.24
31/07/1983,63.39
31/08/1983,63.44
30/09/1983,64.4
31/10/1983,65.26
30/11/1983,65.17
31/12/1983,65.57
31/01/1984,66.06
29/02/1984,67.7
31/03/1984,68.55
30/04/1984,69.15
31/05/1984,69.24
30/06/1984,69.52
31/07/1984,68.91
31/08/1984,69.05
30/09/1984,68.29
31/10/1984,68.92
30/11/1984,69.9
31/12/1984,68.89
31/01/1985,68.53
28/02/1985,67.83
31/03/1985,69.41
30/04/1985,74
31/05/1985,74.01
30/06/1985,75.5
31/07/1985,80.09
31/08/1985,83.28
30/09/1985,84.48
31/10/1985,89.61
30/11/1985,92.8
31/12/1985,95.22
31/01/1986,96.37
28/02/1986,97.71
31/03/1986,99.03
30/04/1986,99.83
31/05/1986,104.61
30/06/1986,107.2
31/07/1986,110.95
31/08/1986,111.49
30/09/1986,112.15
31/10/1986,112.89
30/11/1986,112.4
31/12/1986,110.96
31/01/1987,113.56
28/02/1987,115.76
31/03/1987,116.37
30/04/1987,119.24
31/05/1987,119.74
30/06/1987,118.66
31/07/1987,117.7
31/08/1987,118.18
30/09/1987,119.92
31/10/1987,119.79
30/11/1987,122.43
31/12/1987,123.98
31/01/1988,122.24
29/02/1988,120.14
31/03/1988,121.28
30/04/1988,121.82
31/05/1988,122.31
30/06/1988,120.49
31/07/1988,119.21
31/08/1988,120.05
30/09/1988,121.96
31/10/1988,124.68
30/11/1988,127.74
31/12/1988,127.55
31/01/1989,125.18
28/02/1989,125.77
31/03/1989,123.32
30/04/1989,125.38
31/05/1989,124.95
30/06/1989,125.2
31/07/1989,127.41
31/08/1989,127.29
30/09/1989,127.4
31/10/1989,130.3
30/11/1989,131.4
31/12/1989,134.8
31/01/1990,136.68
28/02/1990,138.62
31/03/1990,138.21
30/04/1990,138.84
31/05/1990,141.22
30/06/1990,142.04
31/07/1990,145.26
31/08/1990,149.39
30/09/1990,150.44
31/10/1990,152.81
30/11/1990,153.08
31/12/1990,150.97
31/01/1991,148.45
28/02/1991,151.74
31/03/1991,146.2
30/04/1991,142.81
31/05/1991,142.06
30/06/1991,140.36
31/07/1991,140.22
31/08/1991,141.9
30/09/1991,144.68
31/10/1991,145.42
30/11/1991,148.63
31/12/1991,135.96
31/01/1992,135.31
29/02/1992,129.46
31/03/1992,126.27
30/04/1992,125.98
31/05/1992,127.07
30/06/1992,129.42
31/07/1992,134.86
31/08/1992,132.61
30/09/1992,131.51
31/10/1992,129.32
30/11/1992,126.47
31/12/1992,127.09
31/01/1993,125.26
28/02/1993,123.3
31/03/1993,124.48
30/04/1993,126.55
31/05/1993,126.1
30/06/1993,124.08
31/07/1993,121.99
31/08/1993,121.9
30/09/1993,122.59
31/10/1993,120.61
30/11/1993,117
31/12/1993,114.12
31/01/1994,112.64
28/02/1994,111.54
31/03/1994,111.04
30/04/1994,110.27
31/05/1994,110.71
30/06/1994,109.01
31/07/1994,107.48
31/08/1994,106.23
30/09/1994,107.77
31/10/1994,108.7
30/11/1994,105.61
31/12/1994,102.45
31/01/1995,103.7
28/02/1995,103.61
31/03/1995,105.54
30/04/1995,107.07
31/05/1995,105.73
30/06/1995,104.52
31/07/1995,105.75
31/08/1995,107.54
30/09/1995,108.65
31/10/1995,110.76
30/11/1995,111.07
31/12/1995,106.85
31/01/1996,106.56
29/02/1996,107.49
31/03/1996,108.32
30/04/1996,105.86
31/05/1996,103.79
30/06/1996,103.66
31/07/1996,101.91
31/08/1996,99.45
30/09/1996,97.77
31/10/1996,94.22
30/11/1996,92.08
31/12/1996,91.03
31/01/1997,92.1
28/02/1997,94.49
31/03/1997,92.17
30/04/1997,91.2
31/05/1997,91.55
30/06/1997,91.09
31/07/1997,91.33
31/08/1997,91.99
30/09/1997,98.71
31/10/1997,101.33
30/11/1997,102.4
31/12/1997,100.21
31/01/1998,100.24
28/02/1998,101.02
31/03/1998,99.92
30/04/1998,98.19
31/05/1998,98.8
30/06/1998,96.85
31/07/1998,94.88
31/08/1998,95.38
30/09/1998,104.4
31/10/1998,110.33
30/11/1998,108.2
31/12/1998,104.96
31/01/1999,105.21
28/02/1999,102.65
31/03/1999,99.86
30/04/1999,102.73
31/05/1999,106.69
30/06/1999,107.98
31/07/1999,114.96
31/08/1999,119
30/09/1999,124.36
31/10/1999,123.12
30/11/1999,119.54
31/12/1999,115.39
31/01/2000,117.5
29/02/2000,117.91
31/03/2000,117.36
30/04/2000,118.69
31/05/2000,120.58
30/06/2000,125.98
31/07/2000,128.12
31/08/2000,128.11
30/09/2000,128.28
31/10/2000,124.91
30/11/2000,121.89
31/12/2000,125.29
31/01/2001,128.92
28/02/2001,127.95
31/03/2001,127.85
30/04/2001,129
31/05/2001,129.66
30/06/2001,126.32
31/07/2001,125.22
31/08/2001,125.11
30/09/2001,126.51
31/10/2001,125.06
30/11/2001,124.64
31/12/2001,124.7
31/01/2002,122.48
28/02/2002,119.1
31/03/2002,118.78
30/04/2002,119.1
31/05/2002,120.28
30/06/2002,120.19
31/07/2002,127.02
31/08/2002,132.82
30/09/2002,136.42
31/10/2002,138.83
30/11/2002,135.15
31/12/2002,140.7
31/01/2003,143.65
28/02/2003,146.45
31/03/2003,147.48
30/04/2003,145.9
31/05/2003,145.22
30/06/2003,143.9
31/07/2003,144.68
31/08/2003,143.53
30/09/2003,142.95
31/10/2003,146.65
30/11/2003,144.84
31/12/2003,144.15
31/01/2004,142.75
29/02/2004,138.43
31/03/2004,135.06
30/04/2004,133.13
31/05/2004,135.67
30/06/2004,135.66
31/07/2004,132.78
31/08/2004,130.78
30/09/2004,127.79
31/10/2004,130.32
30/11/2004,129.55
31/12/2004,124.69
31/01/2005,121.55
28/02/2005,120.62
31/03/2005,121.42
30/04/2005,120.04
31/05/2005,119.39
30/06/2005,117.63
31/07/2005,116.99
31/08/2005,117.06
30/09/2005,116.53
31/10/2005,115.46
30/11/2005,114.25
31/12/2005,114.31
31/01/2006,115.27
28/02/2006,114.75
31/03/2006,114.9
30/04/2006,119.31
31/05/2006,124.78
30/06/2006,129.83
31/07/2006,128.6
31/08/2006,122.47
30/09/2006,122.2
31/10/2006,120.18
30/11/2006,117.08
31/12/2006,116.59
31/01/2007,114.59
28/02/2007,114.39
31/03/2007,112.62
30/04/2007,110.27
31/05/2007,103.73
30/06/2007,99.71
31/07/2007,101.8
31/08/2007,107.11
30/09/2007,111.13
31/10/2007,106.78
30/11/2007,110.67
31/12/2007,108.69
31/01/2008,107.37
29/02/2008,103.65
31/03/2008,102.22
30/04/2008,99.87
31/05/2008,98.29
30/06/2008,94.62
31/07/2008,99.12
31/08/2008,101.01
30/09/2008,110.99
31/10/2008,116.83
30/11/2008,116.02
31/12/2008,112.32
31/01/2009,112.18
28/02/2009,123.49
31/03/2009,121.41
30/04/2009,118.81
31/05/2009,113.65
30/06/2009,107.92
31/07/2009,106.39
31/08/2009,105.75
30/09/2009,104.51
31/10/2009,101.73
30/11/2009,106.34
31/12/2009,108.75
31/01/2010,104.7
28/02/2010,101.98
31/03/2010,100.34
30/04/2010,102.34
31/05/2010,102.64
30/06/2010,98.94
31/07/2010,97.68
31/08/2010,95.25
30/09/2010,95.17
31/10/2010,97.73
30/11/2010,100.58
31/12/2010,103.18
31/01/2011,99
28/02/2011,100.8
31/03/2011,101.78
30/04/2011,99.45
31/05/2011,99.03
30/06/2011,98
31/07/2011,97.22
31/08/2011,98.41
30/09/2011,98.76
31/10/2011,101.74
30/11/2011,101.92
31/12/2011,101.83
31/01/2012,97.72
29/02/2012,95.55
31/03/2012,94.51
30/04/2012,94.68
31/05/2012,94.04
30/06/2012,92.89
31/07/2012,92.83
31/08/2012,94.65
30/09/2012,95.32
31/10/2012,95.68
30/11/2012,96.08
31/12/2012,95.39
31/01/2013,94.82
28/02/2013,95.73
31/03/2013,95.78
30/04/2013,97.1
31/05/2013,97.94
30/06/2013,100.27
31/07/2013,99.35
31/08/2013,99.48
30/09/2013,100.39
31/10/2013,99.68
30/11/2013,101.51
31/12/2013,102.22
31/01/2014,103.22
28/02/2014,107.32
31/03/2014,106.82
30/04/2014,102.93
31/05/2014,101.72
30/06/2014,100.16
31/07/2014,98.37
31/08/2014,99.72
30/09/2014,102.45
31/10/2014,105.23
30/11/2014,108.26
31/12/2014,117.41
31/01/2015,118.38
28/02/2015,117.99
31/03/2015,123.89
30/04/2015,119.95
31/05/2015,118.12
30/06/2015,123.46
31/07/2015,130.74
31/08/2015,141.98
30/09/2015,141.96
31/10/2015,135.73
30/11/2015,136.74
31/12/2015,146.52
31/01/2016,145.08
29/02/2016,148.22
31/03/2016,139.69
30/04/2016,134.81
31/05/2016,133.46
30/06/2016,132.87
31/07/2016,130.71
31/08/2016,131.92
30/09/2016,129.49
31/10/2016,129.6
30/11/2016,134.96
31/12/2016,129.06
31/01/2017,126.39
28/02/2017,124.4
31/03/2017,127.31
30/04/2017,124.89
31/05/2017,127.15
30/06/2017,129.22
31/07/2017,133.56
31/08/2017,131.92
30/09/2017,130.39
31/10/2017,130.47
30/11/2017,132.54
31/12/2017,131.84
31/01/2018,128.3
28/02/2018,128.88
31/03/2018,128.2
30/04/2018,123.88
31/05/2018,125.15
30/06/2018,124.8
31/07/2018,123.67
31/08/2018,125.64
30/09/2018,127.93
31/10/2018,129.7
30/11/2018,133.35
31/12/2018,133.84
31/01/2019,133
28/02/2019,131.45
31/03/2019,131.53
30/04/2019,132.62
31/05/2019,137.52
30/06/2019,135.38
31/07/2019,133.53
31/08/2019,139.4
30/09/2019,137.92
31/10/2019,139.84
30/11/2019,138.82
31/12/2019,138.28
31/01/2020,136.56
29/02/2020,138.67
31/03/2020,152.71
30/04/2020,153.67
31/05/2020,148.98
30/06/2020,145.62
31/07/2020,144.61
31/08/2020,151.01
30/09/2020,149.99
31/10/2020,153.28
30/11/2020,148.83
31/12/2020,142.53
31/01/2021,144.34
28/02/2021,146.53
31/03/2021,147.41
30/04/2021,149.23
31/05/2021,153.34
30/06/2021,151.56
31/07/2021,155.67
31/08/2021,156.97
30/09/2021,154.04
31/10/2021,151.46
30/11/2021,155.93
31/12/2021,157.37
31/01/2022,158.27
28/02/2022,155.85
31/03/2022,149.95
30/04/2022,148.57
31/05/2022,154.25
30/06/2022,149.86
31/07/2022,163.61
31/08/2022,160.05
30/09/2022,160.32
31/10/2022,167.28
30/11/2022,175.73
31/12/2022,171.95
31/01/2023,170.27
28/02/2023,171.85
31/03/2023,168.76
30/04/2023,161.14
31/05/2023,160.47
30/06/2023,147.74
31/07/2023,142.58
31/08/2023,140.54
30/09/2023,136.81
31/10/2023,141.81
30/11/2023,137.09
31/12/2023,134.35
31/01/2024,132.61
29/02/2024,132.35
31/03/2024,131.41
30/04/2024,128.8
31/05/2024,128.56
30/06/2024,132.62
31/07/2024,131.88
31/08/2024,133.7
30/09/2024,138.06
31/10/2024,139.06
30/11/2024,141.59
31/12/2024,139.42
31/01/2025,138.29
28/02/2025,138.67
31/03/2025,139.58
30/04/2025,139.87
31/05/2025,140.76
,126.98
,138.45
,138.97
,133.1
,134.15
,143.6
,141.84
,144.31
,136.02
,130.11
,128.34
,127.39
,125.62
,126.54
,124.28
,125.02
,130.58
,125.22
,122.19
,119.66
,122.5
,119.94
,122.04
,122.93
,127.51
,125.67
,124.22
,125.13
,127.95
,127.26
,123.37
,119.69
,119.02
,115.04
,117.02
,117.49
,117.66
,116.8
,118.87
,121.92
,126.39
,125.56
,124.3
,122.15
,122.8
,123.99
,128.85
,126.85
,125.67
,130.76
,129.14
,131.66
,130.87
,129.9
,128.11
,129.71
,142.92
,143.7
,139.69
,136.87
,137.01
,142.74
,141.8
,145.7
,141.83
,135.05
,136.27
,137.54
,139.31
,141.06
,144.66
,143.08
,147.66
,147.9
,144.74
,143.44
,148.26
,149.85
,150.44
,147.48
,142.73
,141.17
,146.87
,143.22
,157.26
,153.3
,153.35
,161.18
,168.66
,163.55
,160.98
,161.01
,158.45
,151.2
,150.76
,139.06
,134.92
,132.55
,129.2
,135.35
,131.26
,127.85
,125.54
,124.91
,124.44
,122.25
,122.32
,126.75
,126.79
,128.24
,131.97
,133.77
,136.32
,133.65
,130.2
,124.49
,125.26
,129.56
,127.96
,126.11
